,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
67,一汽解放青岛汽车有限公司,解放牌,纯电动厢式运输车,CA5046XXYP40L1BEVA83,nan,2017,8,"2060,2250",5998,"2905,3105",4495,3260,89.85,磷酸铁锂蓄电池,nan,118.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147/4300/750,永磁同步电机,90,nan,nan,nan,315,nan,0.410,nan,nan,配置ID： NC238203
68,一汽解放青岛汽车有限公司,解放牌,纯电动厢式运输车,CA5046XXYP40L1BEVA84,nan,2017,8,"2060,2250",5998,"2905,3105",4495,3250,92.16,磷酸铁锂蓄电池,nan,122.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/5000/500,永磁同步电机,90,nan,nan,nan,320,nan,0.420,nan,nan,配置ID： NC238162
69,郑州宇通客车股份有限公司,宇通牌,纯电动铰接城市客车,ZK6180BEVG31,nan,2017,8,2550,18000,3360,28000,"18150,18800,19400",190.77,磷酸铁锂蓄电池,9.00,119.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350/3000/2800,永磁同步电机,69,nan,nan,nan,203,nan,0.223,nan,nan,配置ID： NC238218
70,郑州宇通客车股份有限公司,宇通牌,纯电动城市客车,ZK6650BEVG15,nan,2017,8,2100,6540,"2770,2980",7600,"4850,5050,5250",52.99,磷酸铁锂蓄电池,10.20,97.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3500/955,永磁同步电机,69,nan,nan,nan,201,nan,0.232,nan,nan,配置ID： NC238187
71,湖北新楚风汽车股份有限公司,楚风牌,纯电动厢式运输车,HQG5041XXYEV,nan,2017,8,"1940, 1940","5880,5990, 5880,5990","2850, 2850","4495, 4495","2805, 2805","72.60, 72.60","锂离子电池, 锂离子电池",nan,"109.60, 109.60",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"110/4500/650, 100/3600/1000","永磁同步电机, 永磁同步牵引电动机","85, 85",nan,nan,nan,"198, 198",nan,"0.410, 0.410",nan,nan,"配置ID： NC238176, 配置ID： NC238040"
72,湖北新楚风汽车股份有限公司,楚风牌,纯电动厢式运输车,HQG5042XXYEV10,nan,2017,8,"2110, 2110","5880,5990,5940, 5880,5990,5940","2830,2930, 2830,2930","4495, 4495","2850, 2850","46.00, 46.00","磷酸铁锂电池, 磷酸铁锂电池",nan,"95.50, 95.50",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"85/3600/800, 100/3700/750","永磁同步驱动电机, 永磁同步电机","85, 85",nan,nan,nan,"148, 148",nan,"0.353, 0.353",nan,nan,"配置ID： NC238504, 配置ID： NC238501"
73,湖北三环专用汽车有限公司,十通牌,纯电动厢式运输车,STQ5031XXYNBEV2,nan,2017,8,1735,4498,1940,2995,1820,46.06,三元锂离子电池,nan,115.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70/8500/290,永磁同步电机,80,nan,nan,200,nan,nan,0.373,nan,nan,配置ID： NC238864
74,比亚迪汽车工业有限公司,比亚迪牌,纯电动冷藏车,BYD5030XLCBEV,nan,2017,8,1720,4460,1985,2850,2050,48.00,磷酸铁锂蓄电池,nan,105.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/4929/310,永磁同步电机,130,nan,nan,250,nan,nan,0.475,nan,nan,配置ID： NC230276
75,比亚迪汽车工业有限公司,比亚迪牌,纯电动厢式运输车,BYD5110XXYBEV,nan,2017,8,"2250,2300","7450,7725",3300,10695,"5885,6155,6485",145.00,磷酸铁锂蓄电池,nan,113.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/10000/550,永磁同步电机,100,nan,nan,nan,300,nan,0.182,nan,nan,配置ID： NC225245
76,比亚迪汽车工业有限公司,比亚迪牌,纯电动洒水车,BYD5160GSSBEV,nan,2017,8,2500,8290,3000,16000,10680,175.00,磷酸铁锂蓄电池,nan,105.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180/5000/1500,永磁同步电动机,85,nan,nan,nan,300,nan,nan,nan,4.36,配置ID： NC230130
77,比亚迪汽车工业有限公司,比亚迪牌,纯电动洗扫车,BYD5160TXSBEV,nan,2017,8,2500,8265,3260,16000,14750,297.00,磷酸铁锂蓄电池,nan,107.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180/5000/1500,永磁同步电动机,85,nan,nan,nan,460,nan,nan,nan,4.07,配置ID： NC230219
78,比亚迪汽车工业有限公司,比亚迪牌,纯电动压缩式垃圾车,BYD5160ZYSBEV,nan,2017,8,2500,8870,3200,16000,13000,175.00,磷酸铁锂蓄电池,nan,105.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180/5000/1500,永磁同步电动机,85,nan,nan,nan,280,nan,0.415,nan,nan,配置ID： NC230054
79,比亚迪汽车工业有限公司,比亚迪牌,纯电动城市客车,BYD6810HZEV3,nan,2017,8,2420,8090,3490,11650,8000,138.20,磷酸铁锂蓄电池,16.60,98.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180/5000/1500,永磁同步电机,69,nan,nan,nan,330,nan,0.231,nan,nan,配置ID： NC234004
80,湖南江南汽车制造有限公司,江南牌,纯电动轿车,JNJ7000EVA11,nan,2017,8,1405,3300,1480,1040,710,nan,三元材料锂离子电池,nan,134.68,nan,10.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24/5000/80,永磁同步电动机,100,nan,nan,150,nan,nan,nan,100,nan,配置ID： NC238761
81,湖南江南汽车制造有限公司,众泰牌,纯电动轿车,JNJ7000EVB,nan,2017,8,1830,4405,"1640,1665",1973,1598,nan,镍钴锰酸锂三元蓄电池,nan,127.30,nan,17.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,95/9000/260,永磁同步电机,140,nan,nan,250,nan,nan,nan,140,nan,配置ID： NC238279
82,深圳东风汽车有限公司,东风牌,纯电动车厢可卸式垃圾车,EQ5030ZXXBEVS,nan,2017,8,1665,"4420,4970",2070,2850,1905,48.60,镍钴锰三元锂蓄电池,nan,118.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/6000/170,永磁同步电机,80,nan,nan,260,nan,nan,0.430,nan,nan,配置ID： NC239506
83,深圳东风汽车有限公司,东风牌,纯电动桶装垃圾运输车,EQ5033CTYBEVS,nan,2017,8,1830,5940,"2070,2100",2850,1850,48.60,镍钴锰三元锂蓄电池,nan,117.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/6000/170,永磁同步电机,80,nan,nan,260,nan,nan,0.430,nan,nan,配置ID： NC237842
84,广州广汽比亚迪新能源客车有限公司,广汽牌,纯电动城市客车,GZ6800LZEV,nan,2017,8,2420,8060,3270,12800,9000,162.00,磷酸铁锂电池,19.93,92.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/7500/400,永磁同步电机,69,nan,nan,nan,360,nan,0.231,nan,nan,配置ID： NC225138
85,重庆力帆乘用车有限公司,力帆牌,纯电动轿车,LF7002CEV260,nan,2017,8,1705,"4550,4610",1495,1755,1380,nan,三元聚合物锂电池,nan,108.15,nan,14.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/7000/213,交流永磁同步电动机,120,nan,nan,252,nan,nan,nan,120,nan,配置ID： NC216041
86,重庆力帆乘用车有限公司,力帆牌,纯电动轿车,LF7002EEV400,nan,2017,8,1715,4625,1525,1925,1550,nan,三元锂离子电池,nan,143.00,nan,15.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110/10000/300,永磁同步电机,140,nan,nan,400,nan,nan,nan,120,nan,配置ID： NC239903
87,中植一客成都汽车有限公司,中植汽车牌,纯电动客车,CDL6100LRBEV,nan,2017,8,2500,10430,3300,14000,9100,139.27,磷酸铁锂电池,13.20,116.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/5000/750,三相交流同步电机,100,nan,nan,nan,280,nan,0.198,nan,nan,配置ID： NC238805
88,中植一客成都汽车有限公司,中植汽车牌,纯电动客车,CDL6110LRBEV3,nan,2017,8,2500,10990,3300,15000,9700,141.30,磷酸铁锂电池,12.10,"127.60,123.60",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/3200/1000,三相交流同步电机,100,nan,nan,nan,280,nan,0.182,nan,nan,配置ID： NC231058
89,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5044XXYBEV1SBBJEAGK,nan,2017,8,"2050,2150,2250",5995,"2870,2970,3070",4490,2920,65.66,三元材料锂离子电池,nan,111.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3700/750,永磁同步电机,80,nan,nan,nan,260,nan,0.278,nan,nan,配置ID： NC230554
90,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5045XXYBEV1Z2,nan,2017,8,"2050,2150,2250",5995,"2870,2970,3070",4490,3015,82.43,磷酸铁锂蓄电池,nan,110.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3700/750,永磁同步电机,80,nan,nan,nan,295,nan,0.297,nan,nan,配置ID： NC238492
91,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5045XXYBEV1Z3,nan,2017,8,"2050,2150,2250",5995,"2870,2970,3070",4490,3045,76.03,锂离子蓄电池,nan,108.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3700/750,永磁同步电机,80,nan,nan,nan,275,nan,0.304,nan,nan,配置ID： NC238490
92,成都大运汽车集团有限公司,大运牌,纯电动城市客车,CGC6101BEV1K2,nan,2017,8,2400,10100,"3020,3190",14000,8800,139.97,磷酸铁锂蓄电池,13.90,117.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140/2080/2100,永磁同步电机,69,nan,nan,nan,285,nan,0.163,nan,nan,配置ID： NC238494
93,成都大运汽车集团有限公司,大运牌,纯电动城市客车,CGC6851BEV1K1,nan,2017,8,2400,8540,"3050,3210",12500,7800,111.36,磷酸铁锂蓄电池,14.40,97.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140/2080/2100,永磁同步电机,69,nan,nan,nan,255,nan,0.152,nan,nan,配置ID： NC238495
94,东风云南汽车有限公司,东风牌,纯电动厢式运输车,EQ5023XXYPBEVB,nan,2017,8,1620,4010,1915,1960,1320,41.55,镍钴锰三元锂锂离子动力电池,nan,128.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/9000/180,永磁同步电机,85,nan,nan,235,nan,nan,0.488,nan,nan,配置ID： NC186431
95,东风云南汽车有限公司,东风牌,纯电动车厢可卸式垃圾车,EQ5030ZXXPBEV,nan,2017,8,1620,4260,1880,2610,1630,30.50,三元锂离子动力蓄电池（镍钴锰）,nan,110.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/4000/400,永磁同步电动机,80,nan,nan,160,nan,nan,0.355,nan,nan,配置ID： NC240738
96,陕西通家汽车股份有限公司,通家福牌,纯电动厢式运输车,STJ5022XXYEV6,nan,2017,8,1620,4030,1900,2050,1355,38.37,三元锂离子蓄电池,nan,120.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/9000/225,永磁同步电机,100,nan,nan,255,nan,nan,0.425,nan,nan,配置ID： NC222508
97,陕西通家汽车股份有限公司,通家福牌,纯电动厢式运输车,STJ5024XXYEV5,nan,2017,8,1620,4030,1900,2050,1300,35.15,三元锂离子蓄电池,nan,112.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/6800/160,交流异步电机,88,nan,nan,247,nan,nan,0.380,nan,nan,配置ID： NC238710
98,陕西通家汽车股份有限公司,通家福牌,纯电动厢式运输车,STJ5024XXYEV8,nan,2017,8,1620,4030,1900,2050,1285,40.40,三元锂离子蓄电池,nan,120.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/6800/180,永磁同步电机,88,nan,nan,242,nan,nan,0.440,nan,nan,配置ID： NC238750
99,陕西通家汽车股份有限公司,通家福牌,纯电动多用途乘用车,STJ6460EV,nan,2017,8,1845,4615,1655,2330,1880,nan,三元软包锂离子动力电池,nan,127.65,nan,18.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/12000/250,永磁同步电机,150,nan,nan,285,nan,nan,nan,135,nan,配置ID： NC222452
100,陕西汽车集团有限责任公司,陕汽牌,纯电动厢式运输车,SX5040XXYBEV331H,nan,2017,8,"2100,2150,2200",5995,"2850,2880,2980,3080",4495,3360,71.37,磷酸铁锂离子电池,nan,95.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85/6000/280,永磁同步电机,85,nan,nan,nan,300,nan,0.322,nan,nan,配置ID： NC236270
101,陕西汽车集团有限责任公司,陕汽牌,纯电动厢式运输车,SX5040XXYBEV331S,nan,2017,8,"2100,2150,2200",5995,"2850,2880,2980,3080",4495,3350,63.07,三元材料锂离子电池,nan,117.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85/6000/280,永磁同步电机,85,nan,nan,nan,265,nan,0.408,nan,nan,配置ID： NC240376
102,陕西汽车集团有限责任公司,陕汽牌,纯电动厢式运输车,SX5042XXYBEV331L,nan,2017,8,"2100,2150,2200",5995,"2850,2880,2980,3080",4495,3400,77.79,三元材料锂离子电池,nan,112.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85/6000/280,永磁同步电机,85,nan,nan,nan,330,nan,0.328,nan,nan,配置ID： NC240345
103,陕西汽车集团有限责任公司,陕汽牌,纯电动车厢可卸式垃圾车,SX5043ZXXBEV331L,nan,2017,8,"2060,2100","5600,5100",2270,4495,3420,58.34,三元材料锂离子电池,nan,108.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85/6000/280,永磁同步电机,85,nan,nan,nan,225,nan,0.401,nan,nan,配置ID： NC240426
104,陕西汽车集团有限责任公司,陕汽牌,纯电动洒水车,SX5070GSSBEV331L,nan,2017,8,"2060,2130","5960,5995,6340","2370,2500",7300,4250,77.79,三元材料锂离子电池,nan,112.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/5500/460,永磁同步电机,85,nan,nan,nan,240,nan,nan,nan,4.99,配置ID： NC240452
105,陕西汽车集团有限责任公司,陕汽牌,纯电动冷藏车,SX5070XLCBEV331L,nan,2017,8,"2100,2180,2200,2280","5995,6060,6110,6210,6290","3190,3290,3370",7300,4560,77.79,三元材料锂离子电池,nan,112.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/5500/460,永磁同步电机,85,nan,nan,nan,230,nan,0.217,nan,nan,配置ID： NC240523
106,金龙联合汽车工业(苏州)有限公司,海格牌,纯电动客车,KLQ6109EV0N,nan,2017,8,2500,10490,"3590,3690",17000,"12600,13000,12000",180.00,磷酸铁锂电池,16.70,100.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/2950/2600,永磁同步电机,90,nan,nan,nan,337,nan,0.229,nan,nan,配置ID： NC239083
107,金龙联合汽车工业(苏州)有限公司,海格牌,纯电动城市客车,KLQ6109GAEVT,nan,2017,8,2550,10490,"3080,3180,3250",17000,"11850,12050,12250",258.05,磷酸铁锂电池,18.90,126.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/2700/2500,永磁同步电机,69,nan,nan,nan,402,nan,0.237,nan,nan,配置ID： NC240519
108,金龙联合汽车工业(苏州)有限公司,海格牌,纯电动城市客车,KLQ6850GEVN2,nan,2017,8,2440,8540,"3080,3180,3250",13000,"9150,9300,9500",182.47,磷酸铁锂电池,16.00,131.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/2850/2150,永磁同步电机,69,nan,nan,nan,380,nan,0.226,nan,nan,配置ID： NC240572
109,金龙联合汽车工业(苏州)有限公司,海格牌,纯电动城市客车,KLQ6850GEVT,nan,2017,8,2440,8540,"3080,3180,3250",13000,"8700,8950,9150",129.02,磷酸铁锂电池,12.60,121.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/2850/2150,永磁同步电机,69,nan,nan,nan,255,nan,0.227,nan,nan,配置ID： NC240550
110,奇瑞汽车股份有限公司,奇瑞牌,纯电动轿车,SQR7000BEVJ723,nan,2017,8,1670,3200,"1550,1590","1030,1200","880,900",nan,三元锂离子电池,nan,105.42,nan,"12.6,12.7",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30/2387/120,永磁同步电机,100,nan,nan,151,nan,nan,nan,100,nan,配置ID： NC232646
111,江铃控股有限公司,江铃牌,纯电动轿车,JX70022BEV,nan,2017,8,1570,"3580,3650",1485,1220,920,nan,三元锂离子电池,nan,135.00,nan,11.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30/7000/150,永磁同步,100,nan,nan,152,nan,nan,nan,100,nan,配置ID： NC239626
112,江铃控股有限公司,江铃牌,纯电动轿车,JX70023BEV,nan,2017,8,1570,"3580,3650",1485,1220,920,nan,三元锂离子电池,nan,131.92,nan,11.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30/7000/150,永磁同步,100,nan,nan,152,nan,nan,nan,100,nan,配置ID： NC239647
113,上海汽车集团股份有限公司,名爵牌,插电式混合动力轿车,CSA7102SDPHEV,nan,2017,8,1848,4695,1458,1889,1465,nan,三元锂离子电池,nan,nan,nan,nan,是,10E4E,上海汽车集团股份有限公司,999/92,4.39,nan,nan,nan,nan,汽油/电混合动力,59/7000/318,永磁同步电机,200,53.0,nan,nan,nan,45.10,nan,nan,nan,配置ID： NC240009
114,厦门金龙联合汽车工业有限公司,金龙牌,纯电动城市客车,XMQ6106AGBEVL12,nan,2017,8,2500,10500,"3070,3120,3230,3270",17500,"10800,11150,11450",140.54,磷酸铁锂蓄电池,10.10,130.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/2500/2500,永磁同步电机,69,nan,nan,nan,225,nan,0.183,nan,nan,配置ID： NC238332
115,厦门金龙旅行车有限公司,金旅牌,纯电动客车,XML6809JEVM0,nan,2017,8,2280,8050,"2860,2980",9600,6350,94.30,磷酸铁锂电池,12.70,117.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/5500/460,永磁同步电机,100,nan,nan,nan,201,nan,0.228,nan,nan,配置ID： NC240443
116,厦门金龙旅行车有限公司,金旅牌,纯电动城市客车,XML6855JEVD0C1,nan,2017,8,2460,8490,"3050,3165",14200,"9330,9900",216.26,磷酸铁锂电池,18.30,134.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2000,永磁同步电机,69,nan,nan,nan,368,nan,0.232,nan,nan,配置ID： NC240544
117,厦门金龙旅行车有限公司,金旅牌,纯电动城市客车,XML6935JEV10C,nan,2017,8,2500,9340,"3300,3150",16500,"11750,11070",248.80,磷酸铁锂电池,17.40,130.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2000,永磁同步电机,69,nan,nan,nan,362,nan,0.231,nan,nan,配置ID： NC240172
118,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6108EVG16,nan,2017,8,2500,10480,"3280,3120",17600,12000,299.05,磷酸铁锂蓄电池,19.90,131.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,475,nan,0.204,nan,nan,配置ID： NC238183
119,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6108EVG17,nan,2017,8,2500,10480,"3280,3120",17100,"10900,11500",258.05,磷酸铁锂蓄电池,18.90,128.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,440,nan,0.187,nan,nan,配置ID： NC238224
120,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6108EVGF,nan,2017,8,2500,10480,"3280,3120",16300,"10200,10800",172.80,磷酸铁锂蓄电池,13.10,126.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,280,nan,0.204,nan,nan,配置ID： NC240770
121,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6108EVGL,nan,2017,8,2500,10480,"3280,3120",16000,"9900,10400",145.15,磷酸铁锂电池,"11.70,11.10","133.30,129.10,125.70",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,225,nan,0.205,nan,nan,配置ID： NC240742
122,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6108EVGL1,nan,2017,8,2500,10480,"3280,3120",17100,"10900,11500",262.65,磷酸铁锂电池,19.80,126.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,440,nan,0.191,nan,nan,配置ID： NC238236
123,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6108EVGM3,nan,2017,8,2500,10480,"3280,3120",17100,"10900,11500",248.83,磷酸铁锂电池,"19.30,18.30",117.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,400,nan,0.199,nan,nan,配置ID： NC240681
124,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6122EVG10,nan,2017,8,2550,11990,"3280,3150",18000,13000,315.10,磷酸铁锂蓄电池,19.80,126.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,520,nan,0.222,nan,nan,配置ID： NC238839
125,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6122EVG12,nan,2017,8,2550,11990,"3280,3150",18000,12500,290.30,磷酸铁锂电池,19.70,119.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,475,nan,0.201,nan,nan,配置ID： NC239293
126,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6122EVG8,nan,2017,8,2550,11990,"3280,3150",18000,12900,324.40,磷酸铁锂蓄电池,19.90,134.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196/2600/2800,永磁同步电机,69,nan,nan,nan,530,nan,0.209,nan,nan,配置ID： NC238278
127,中通客车控股股份有限公司,中通牌,插电式混合动力城市客车,LCK6127PHEVCNG2,nan,2017,8,2550,11990,"3180,3280,3480",17900,"11550,12100,12600",51.15,锰酸锂电池,6.10,nan,nan,nan,是,WP7NG240E50,潍柴西港新能源动力有限公司,7140/177,nan,nan,nan,nan,nan,NG/电混合动力,135/3500/1000,永磁同步电机,69,nan,85,nan,nan,nan,nan,nan,nan,配置ID： NC240747
128,中通客车控股股份有限公司,中通牌,插电式混合动力城市客车,LCK6127PHEVCNG3,nan,2017,8,2550,11990,"3180,3280,3480",17900,"11550,12100,12600",50.60,锰酸锂电池,7.00,nan,nan,nan,是,YC6J225N-52,广西玉柴机器股份有限公司,6494/166,nan,nan,nan,nan,nan,NG/电混合动力,135/3500/1000,永磁同步电机,69,nan,83,nan,nan,nan,nan,nan,nan,配置ID： NC238310
129,中通客车控股股份有限公司,中通牌,纯电动城市客车,LCK6809EVGD,nan,2017,8,2390,8010,"3090,2950",11200,"7150,6850,6500",92.93,磷酸铁锂电池,11.80,117.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/3000/2000,永磁同步电动机,69,nan,nan,nan,205,nan,0.199,nan,nan,配置ID： NC238360
130,中通客车控股股份有限公司,中通牌,插电式混合动力城市客车,LCK6820PHEV5QG,nan,2017,8,"2380, 2380","8245, 8245","3220,3060,3380, 3220,3060,3380","12200, 12200","7400,7850,8300, 7400,7850,8300","18.65, 18.65","锰酸锂电池, 锰酸锂电池","3.80,3.60,3.40, 3.80,3.60,3.40",nan,nan,nan,"是, 是","WP4.1Q165E50, YC4S150-50","潍柴动力扬州柴油机有限责任公司, 广西玉柴机器股份有限公司","4088/120, 3767/110",nan,"10.00, 10.10",nan,nan,nan,"柴油/电混合动力, 柴油/电混合动力","50/3000/450, 50/3000/450","永磁同步电机, 永磁同步电机","69, 69",nan,"53, 53",nan,nan,"61.50, 61.20",nan,nan,nan,"配置ID： NC224565, 配置ID： NC224527"
131,海马汽车有限公司,海马牌,纯电动轿车,HMA7004S30BEV,nan,2017,8,1737,4545,1495,1765,1390,nan,三元材料锂离子蓄电池(镍钴锰),nan,93.12,nan,16.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62/9500/220,永磁同步电机,130,nan,nan,155,nan,nan,nan,120,nan,配置ID： NC237535
132,上海申龙客车有限公司,申龙牌,纯电动邮政车,SLK5032XYZBEV1,nan,2017,8,1626,4430,1930,2550,1515,46.33,镍钴锰酸锂电池,nan,125.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80/6000/360,永磁同步电机,90,nan,nan,255,nan,nan,0.329,nan,nan,配置ID： NC239307
133,上海申龙客车有限公司,申龙牌,纯电动客车,SLK6108AEBEVD3,nan,2017,8,2500,10495,"3395,3295",16400,11300,162.60,磷酸铁锂动力电池,14.70,"98.41,98.23",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3300/3000,三相永磁同步电机,100,nan,nan,nan,255,nan,0.198,nan,nan,配置ID： NC240924
134,上海申龙客车有限公司,申龙牌,纯电动城市客车,SLK6109UEBEVJ,nan,2017,8,2500,10500,"3200,3060",16500,"10400,10900",66.20,钛酸锂电池(方形铝壳),"11.50,11.00",nan,5.21C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁磁阻同步电机,69,nan,nan,nan,nan,nan,0.221,nan,nan,配置ID： NC231463
135,上海申龙客车有限公司,申龙牌,纯电动客车,SLK6118AEBEVD3,nan,2017,8,2500,10995,"3395,3295",16400,12000,172.80,磷酸铁锂蓄电池,14.30,95.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3300/3000,三相永磁同步电机,100,nan,nan,nan,280,nan,0.219,nan,nan,配置ID： NC238618
