,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
251,珠海市广通客车有限公司,广客牌,纯电动城市客车,GTZ6119BEVB3,nan,2017,8,2520,10660,3250,16500,10800,170.00,磷酸铁锂,13.70,121.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2500,永磁同步电机,69,nan,nan,nan,295,nan,0.176,nan,nan,配置ID： NC238384
252,东莞中汽宏远汽车有限公司,宏远牌,纯电动城市客车,KMT6109GBEV9,nan,2017,8,2480,10450,"3220,2980",17000,"10550,10300",165.90,磷酸铁锂电池,"15.50,15.90",101.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/2600/2500,永磁同步电机,69,nan,nan,nan,287,nan,0.176,nan,nan,配置ID： NC233607
253,东莞中汽宏远汽车有限公司,宏远牌,纯电动城市客车,KMT6860GBEV9,nan,2017,8,2410,8560,"3080,2910",13500,"8800,8550",129.02,磷酸铁锂电池,11.80,131.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2000,永磁同步电机,69,nan,nan,nan,295,nan,0.211,nan,nan,配置ID： NC238362
254,广西玉柴专用汽车有限公司,玉柴专汽牌,纯电动冷藏车,NZ5030XLCEV,nan,2017,8,1560,4240,2460,2800,1900,43.60,三元镍钴锰酸锂复合材料电池,nan,100.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/4700/500,永磁同步电机,85,nan,nan,180,nan,nan,0.460,nan,nan,配置ID： NC231904
255,广西玉柴专用汽车有限公司,玉柴专汽牌,纯电动仓栅式运输车,NZ5041CCYEV,nan,2017,8,2150,5995,2930,4495,3210,75.30,三元镍钴锰酸锂复合材料电池,nan,103.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/3500/1200,三相交流电动机,85,nan,nan,nan,255,nan,0.410,nan,nan,配置ID： NC232327
256,广西源正新能源汽车有限公司,紫象牌,纯电动城市客车,HQK6109BEVB2,nan,2017,8,2500,10500,"3200,3060",16500,"10600,11000",179.10,磷酸铁锂蓄电池,13.60,131.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2500,永磁同步电机,69,nan,nan,nan,250,nan,0.220,nan,nan,配置ID： NC239922
257,广西源正新能源汽车有限公司,紫象牌,插电式混合动力城市客车,HQK6109PHEVB,nan,2017,8,2500,10500,3400,16500,"11800,12300",51.10,锰酸锂蓄电池,"5.90,5.70",nan,nan,nan,是,YC6J200-52,广西玉柴机器股份有限公司,6494/147,nan,14.90,nan,nan,nan,柴油/电混合动力,135/3500/1000,永磁同步电机,69,nan,85,nan,nan,56.20,nan,nan,nan,配置ID： NC241082
258,广西源正新能源汽车有限公司,紫象牌,插电式混合动力城市客车,HQK6128PHEVNG5,nan,2017,8,2550,11990,3350,17900,12680,50.79,锰酸锂动力电池,5.50,nan,nan,nan,允许外接充电,YC6J210N-52,广西玉柴机器股份有限公司,6494/155,nan,nan,nan,nan,nan,LNG/电混合动力,100/3000/823,永磁同步电机,69,nan,82,nan,nan,nan,nan,nan,nan,配置ID： NC241094
259,广西源正新能源汽车有限公司,紫象牌,插电式混合动力城市客车,HQK6129PHEVB,nan,2017,8,2500,11995,3400,18000,"12400,13100",53.80,磷酸铁锂蓄电池,6.30,nan,nan,nan,是,YC6J220-52,广西玉柴机器股份有限公司,6494/162,nan,17.70,nan,nan,nan,柴油/电混合动力,135/3500/1000,永磁同步电机,69,nan,83,nan,nan,52.80,nan,nan,nan,配置ID： NC241090
260,广西源正新能源汽车有限公司,紫象牌,插电式混合动力城市客车,HQK6129PHEVNG,nan,2017,8,2500,11995,3400,18000,"12400,13100",53.80,磷酸铁锂蓄电池,6.30,nan,nan,nan,是,YC6G230N-50,广西玉柴机器股份有限公司,7800/170,nan,nan,nan,nan,nan,LNG/电混合动力,135/3500/1000,永磁同步电机,69,nan,83,nan,nan,nan,nan,nan,nan,配置ID： NC241108
